,alpha,mach,alt,cl,cd,cm
0,2.0,0.45,3187.9,0.3625267057099437,0.01641817451973572,0.11090356853694192
1,3.5,0.45,3744.7,0.4818289580550873,0.021345056383877334,0.145863474258888
2,5.0,0.45,4681.4,0.5952937926908052,0.028134229319518533,0.17719899811708623
3,6.5,0.45,4562.7,0.7012981041727875,0.03686131423754359,0.2033480295540128
4,8.0,0.45,4765.6,0.7879281401568798,0.04917619350655918,0.2155690581314941
5,0.0,0.58,3455.6,0.20556914949400074,0.011769231142130274,0.06486398870844559
6,1.5,0.58,3965.2,0.3365810734261435,0.014741200214793516,0.10514086260584436
7,3.0,0.58,5786.9,0.4628045842732235,0.019666794363761193,0.14233309342059783
8,4.5,0.58,7059.3,0.5844574496278866,0.026384295559129703,0.1763187355777048
9,6.0,0.58,7047.5,0.6981170197646175,0.03527258119392682,0.20398393806603762
10,0.0,0.68,5979.0,0.21154057173556784,0.012054799484802467,0.06761382346181027
11,1.5,0.68,6545.9,0.3515187845049677,0.01531885068387832,0.11156305854654147
12,3.0,0.68,7844.9,0.4874087801852388,0.020666861766384995,0.15240888357006863
13,4.5,0.68,9144.4,0.6170284659319413,0.028391465579100494,0.18777039253912095
14,6.0,0.68,9082.3,0.7360850528138999,0.03949080340292459,0.21273098212834773
15,0.0,0.75,7516.4,0.21903454254205887,0.012379698450145561,0.07162589245064152
16,1.25,0.75,8234.4,0.343394298136475,0.015327917611172207,0.11143842497361475
17,2.5,0.75,9378.5,0.46508637943700815,0.019964828813499907,0.14866816973014554
18,3.75,0.75,10037.9,0.5856821290414216,0.026357103711137544,0.18314785191677724
19,5.0,0.75,10346.9,0.7040173013625275,0.03607822125191913,0.21089286732870888
20,0.0,0.8,8653.4,0.22695615993490129,0.012815462470236766,0.07610321989974465
21,1.25,0.8,8923.8,0.36097200786444117,0.01606957471255421,0.1200914914136198
22,2.5,0.8,11605.6,0.4877358342133441,0.021866363153849648,0.15730431281475366
23,3.75,0.8,9700.4,0.6326887411778008,0.02963793148023959,0.2004370263310471
24,5.0,0.8,10198.1,0.7633850472108021,0.0454174521413782,0.23008054874085482
25,0.0,0.83,9398.0,0.23351960272169275,0.01326242284054686,0.07986933820356915
26,2.0,0.83,10707.2,0.4593166606247827,0.020394340880232863,0.15280352181239842
27,4.0,0.83,10995.9,0.6937496391775677,0.03962557260390228,0.22350151734406165
28,0.0,0.86,9907.5,0.24370899135804253,0.013964918802368647,0.08604837564332767
29,1.0,0.86,11325.8,0.3640315883300463,0.017635705829705063,0.12611828696742342
30,2.0,0.86,11852.4,0.49076100370428033,0.024104814335631643,0.17085522711533252
31,3.0,0.86,10615.6,0.6055100037976316,0.035557133135386186,0.21008167599282293
32,4.0,0.86,11070.0,0.6833009106851651,0.05114879937719475,0.22359873003677513
