,segType,nInt,Weight,Mach,Altitude,intWeight,intAltitude,intMach,intVelocity,alpha,CD,CL,D,L,intDist,intTime,intFuel,segDist,segTime,segFuel,T,TSFC,throttle,gamma,dvdh
0,TGroundRoll,10,"[3316596.86, 3312131.168286]",,"[0.0, 0.0]","[3316596.86, 3316242.8697639997, 3315871.7647319995, 3315482.9829469994, 3315075.677237999, 3314648.525125999, 3314199.793579999, 3313727.161632999, 3313227.6136589986, 3312697.3042009985]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.031333363372717575, 0.06266672674543515, 0.09400009011815273, 0.1253334534908703, 0.15666681686358788, 0.18800018023630546, 0.21933354360902305, 0.2506669069817406, 0.2820002703544582]","[0.0, 10.662555555555555, 21.32511111111111, 31.987666666666662, 42.65022222222222, 53.312777777777775, 63.975333333333325, 74.63788888888888, 85.30044444444444, 95.963]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.006611, 0.013222, 0.019833, 0.026444, 0.033056, 0.039667, 0.046278, 0.052889, 0.0595]","[0.0, 0.132222, 0.264444, 0.396667, 0.528889, 0.661111, 0.793333, 0.925556, 1.057778, 1.19]","[0.0, 201.087833, 1608.70266, 5429.371479, 12869.621283, 25135.979068, 43434.97183, 68973.126563, 102956.970263, 146593.029925]","[0.0, 4021.756651, 32174.053207, 108587.429574, 257392.425657, 502719.581362, 868699.436593, 1379462.531257, 2059139.405258, 2931860.598502]","[0.0, 62.997307, 131.890798, 206.969593, 288.869826, 378.430456, 477.007354, 586.369366, 708.955392, 848.171686]","[5.637517, 5.908275, 6.184765, 6.470294, 6.772997, 7.098307, 7.456114, 7.856189, 8.311274, 8.838528]","[353.990236, 371.105032, 388.781785, 407.305709, 427.152112, 448.731546, 472.631947, 499.547974, 530.309458, 566.135915]",3689.661778,70.53425999999999,4465.691714,"[772318.348822, 742965.9247, 715884.945589, 690844.052912, 667350.393551, 645332.054773, 624543.863391, 604955.752405, 586555.807751, 569340.402589]","[8.1e-05, 8.5e-05, 8.8e-05, 9.1e-05, 9.5e-05, 9.8e-05, 0.000101, 0.000105, 0.000109, 0.000113]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,acceleratedClimb,10,"[3312149.29, 3308489.118676]",,"[0, 457.2]","[3312149.29, 3311780.159157, 3311411.939999, 3311044.5447130003, 3310677.8887970005, 3310311.8908720007, 3309946.4725000006, 3309581.5580030004, 3309217.0742880004, 3308852.950666]","[0.0, 45.72, 91.44, 137.16, 182.88, 228.6, 274.32, 320.03999999999996, 365.76, 411.48]","[0.2820002703544582, 0.2863813835465685, 0.29076709630333397, 0.29515741928705963, 0.29955236319667183, 0.30395193876788373, 0.30835615677336103, 0.31276502802288925, 0.31717856336354117, 0.3215967736798462]","[95.963, 97.4036, 98.8442, 100.2848, 101.7254, 103.166, 104.6066, 106.0472, 107.4878, 108.9284]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.066988, 0.065307, 0.063696, 0.062152, 0.06067, 0.059247, 0.057881, 0.056567, 0.055304, 0.054088]","[1.339752, 1.306138, 1.273926, 1.243039, 1.213402, 1.184949, 1.157616, 1.131344, 1.106079, 1.081768]","[211086.86014, 211086.830527, 211086.090834, 211084.654285, 211082.534863, 211079.747216, 211076.306569, 211072.228642, 211067.529575, 211062.225847]","[3300810.948244, 3300810.48518, 3300798.91844, 3300776.454813, 3300743.312949, 3300699.721902, 3300645.919759, 3300582.152345, 3300508.672009, 3300425.736473]","[551.130119, 560.330332, 569.681898, 579.184538, 588.838091, 598.642547, 608.598096, 618.705172, 628.964507, 639.377189]","[5.76288, 5.771784, 5.781964, 5.793363, 5.805928, 5.81961, 5.834364, 5.850151, 5.866936, 5.884689]","[369.130843, 368.219158, 367.395286, 366.655916, 365.997925, 365.418372, 364.914497, 364.483715, 364.123622, 363.83199]",5943.452488999999,58.17166900000001,3660.171324,"[569340.402589, 564704.700067, 560124.125551, 555599.752723, 551132.426707, 546722.762867, 542371.145593, 538077.727083, 533842.426114, 529664.92681]","[0.000113, 0.000113, 0.000113, 0.000114, 0.000114, 0.000115, 0.000115, 0.000116, 0.000116, 0.000117]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.082767, 0.081414, 0.080084, 0.078775, 0.077489, 0.076225, 0.074983, 0.073762, 0.072563, 0.071386]","[0.031509, 0.031509, 0.031509, 0.031509, 0.031509, 0.031509, 0.031509, 0.031509, 0.031509, 0.031509]"
2,acceleratedClimb,10,"[3308546.08, 3278634.126389]",,"[457.2, 3048]","[3308546.08, 3306098.894377, 3303613.6170880003, 3301072.0479960004, 3297134.2525880006, 3293576.5289630005, 3290585.3779700007, 3287711.9796720007, 3284715.471686001, 3281662.872094001]","[457.2, 716.28, 975.3600000000001, 1234.44, 1493.5200000000002, 1752.6000000000001, 2011.6800000000003, 2270.76, 2529.84, 2788.92]","[0.32601966989395953, 0.35036090963722166, 0.37485015435944347, 0.3994893971071762, 0.4242806708675405, 0.44922604962400275, 0.47432764944678746, 0.4995876296192843, 0.5250081938018698, 0.5505915912346275]","[110.369, 118.2587, 126.1484, 134.0381, 141.9278, 149.8175, 157.7072, 165.5969, 173.4866, 181.3763]","[0, 0, 0, 0.303154, 0.120295, 0.103096, 0.090264, 0.079862, 0.070327, 0.061801]","[0.052991, 0.047309, 0.042619, 0.048503, 0.041096, 0.033481, 0.029235, 0.026845, 0.02442, 0.022115]","[1.059821, 0.946183, 0.852384, 0.780395, 0.707657, 0.650946, 0.602359, 0.56033, 0.523659, 0.491571]","[211346.959865, 211234.948357, 211112.700462, 264420.534167, 244830.965372, 216596.285455, 204202.636592, 201409.047099, 195871.835812, 188829.899604]","[3304878.183966, 3303126.635763, 3301215.018955, 3300221.929656, 3296241.804588, 3292487.485237, 3289561.657675, 3286891.740741, 3284023.140365, 3281040.93009]","[5497.530454, 6105.771247, 6795.136386, 11413.604106, 11132.881022, 10072.154729, 10383.970933, 11596.162933, 12616.593689, 13305.43845]","[49.86574, 51.677089, 53.90535, 85.173874, 78.461691, 67.251731, 65.863844, 70.043924, 72.739067, 73.372103]","[2447.185623, 2485.277289, 2541.569092, 3937.795408, 3557.723625, 2991.150993, 2873.398298, 2996.507986, 3052.599592, 3028.745705]",98919.24394900001,668.3544130000001,29911.953611,"[420474.637458, 402863.991884, 386285.119699, 370514.157226, 355348.016322, 340687.998813, 326471.931067, 312607.373802, 299639.458059, 288701.205407]","[0.000117, 0.000119, 0.000122, 0.000125, 0.000128, 0.000131, 0.000134, 0.000137, 0.00014, 0.000143]","[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]","[0.047092, 0.042407, 0.038109, 0.022695, 0.023267, 0.025717, 0.024945, 0.022338, 0.020532, 0.019469]","[0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453]"
3,acceleratedClimb,10,"[3278950.43, 3182788.736396]",,"[3048, 8988.9569879157]","[3278950.43, 3273733.9551620004, 3268506.3648110004, 3263068.8572120005, 3257282.1298010005, 3251056.0797530003, 3243524.767868, 3232843.174213, 3216442.010075, 3199486.972173]","[3048.0, 3642.09569879157, 4236.19139758314, 4830.28709637471, 5424.382795166281, 6018.47849395785, 6612.57419274942, 7206.669891540991, 7800.76559033256, 8394.86128912413]","[0.5763401179805233, 0.5998213693206605, 0.6236789004439108, 0.6479256180913597, 0.6725750866474958, 0.6976415725666844, 0.7231400925520169, 0.7490864658685416, 0.7754973712185813, 0.8023904086588671]","[189.266, 195.556154, 201.846308, 208.136463, 214.426617, 220.716771, 227.006925, 233.297079, 239.587233, 245.877388]","[0.054334, 0.052801, 0.0517, 0.05067, 0.049577, 0.048603, 0.047773, 0.047084, 0.046403, 0.044767]","[0.020227, 0.020005, 0.0202, 0.020299, 0.020009, 0.019911, 0.020277, 0.020537, 0.020604, 0.021529]","[0.46309, 0.460635, 0.45965, 0.459831, 0.461243, 0.463846, 0.467501, 0.471934, 0.47677, 0.482751]","[183119.714096, 181797.593953, 183711.247082, 184238.466344, 180722.17757, 178491.745595, 179936.038481, 179930.225816, 177782.638138, 182498.777653]","[3277963.798546, 3272863.44525, 3267791.134528, 3262514.485489, 3256870.600275, 3250820.400007, 3243426.175993, 3232807.536152, 3216410.996857, 3199454.47021]","[24212.148638, 25756.664225, 28393.690611, 32225.424828, 37370.373931, 49336.56354, 76193.786306, 126524.055177, 135285.955783, 131802.449251]","[127.965066, 131.744844, 140.700642, 154.854658, 174.302503, 223.545044, 335.65541, 542.336194, 564.668068, 536.05494]","[5216.474838, 5227.590351, 5437.507599, 5786.727411, 6226.050048, 7531.311885, 10681.593655, 16401.164138, 16955.037902, 16698.235777]",667101.1122900001,2931.8273689999996,96161.693604,"[279987.295578, 273227.446348, 266985.48226, 257901.052211, 244485.042761, 226965.564574, 211423.884132, 198933.465314, 187251.801416, 175594.996398]","[0.000146, 0.000145, 0.000145, 0.000145, 0.000146, 0.000148, 0.000151, 0.000152, 0.000154, 0.000155]","[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]","[0.024532, 0.023062, 0.02092, 0.018434, 0.015896, 0.012041, 0.007797, 0.004695, 0.004391, 0.004507]","[0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588]"
4,CMachClimb,10,"[3181133.7, 3148251.430526]",,"[8988.9569879157, 10668]","[3181133.7, 3177818.747946, 3174510.2872840003, 3171208.558602, 3167913.1327810003, 3164623.702603, 3161339.774646, 3158061.038416, 3154786.998651, 3151517.341471]","[8988.9569879157, 9156.86128912413, 9324.765590332561, 9492.66989154099, 9660.57419274942, 9828.47849395785, 9996.38279516628, 10164.28709637471, 10332.19139758314, 10500.09569879157]","[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]","[252.233132, 251.635182, 251.035838, 250.435092, 249.832933, 249.229352, 248.624337, 248.017878, 247.409964, 246.800586]","[0.041939, 0.043709, 0.045516, 0.04736, 0.049238, 0.051152, 0.053101, 0.055087, 0.05713, 0.059235]","[0.022936, 0.023675, 0.024458, 0.025286, 0.026155, 0.027066, 0.02802, 0.029021, 0.030084, 0.031216]","[0.489531, 0.501372, 0.513565, 0.52612, 0.53904, 0.552352, 0.566056, 0.580162, 0.594706, 0.609695]","[190631.633032, 191927.988593, 193366.633301, 194938.699988, 196597.159556, 198337.908824, 200152.868507, 202047.269417, 204114.253711, 206374.2849]","[3181064.497522, 3177748.529679, 3174438.936133, 3171135.969392, 3167839.224862, 3164548.404797, 3161263.011746, 3157982.737906, 3154707.004422, 3151435.48089]","[25454.810975, 25256.846979, 25042.482607, 24815.083254, 24579.914523, 24339.348636, 24093.440275, 23843.319241, 23577.310126, 23294.897468]","[100.919988, 100.373107, 99.758846, 99.090152, 98.387701, 97.660759, 96.90936, 96.13787, 95.298943, 94.389981]","[3314.952054, 3308.460662, 3301.728682, 3295.425821, 3289.430178, 3283.927957, 3278.73623, 3274.039765, 3269.65718, 3265.910945]",244297.454084,978.9267070000001,32882.269474,"[164906.365635, 161920.487442, 158980.76302, 156055.554137, 153140.754435, 150236.363915, 147342.382576, 144458.810419, 141585.647442, 138706.19508]","[0.000157, 0.000156, 0.000156, 0.000155, 0.000155, 0.000154, 0.000154, 0.000153, 0.000153, 0.000152]","[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]","[0.006596, 0.006648, 0.006705, 0.006766, 0.006831, 0.006898, 0.006969, 0.007042, 0.007121, 0.007208]","[-0.003557, -0.003565, -0.003574, -0.003582, -0.003591, -0.003599, -0.003608, -0.003616, -0.003625, -0.003634]"
5,cruise,30,"[3148315.9, 2015007.1]",,"[10668, 10668]","[3148315.9, 3110538.94, 3072761.98, 3034985.02, 2997208.06, 2959431.1, 2921654.14, 2883877.1799999997, 2846100.2199999997, 2808323.26, 2770546.3, 2732769.34, 2694992.38, 2657215.42, 2619438.46, 2581661.5, 2543884.54, 2506107.58, 2468330.62, 2430553.66, 2392776.7, 2354999.74, 2317222.7800000003, 2279445.8200000003, 2241668.8600000003, 2203891.9000000004, 2166114.9400000004, 2128337.98, 2090561.02, 2052784.06]","[10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668, 10668]","[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]","[246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731, 246.189731]","[0.061394, 0.060352, 0.059298, 0.058245, 0.057191, 0.056138, 0.055084, 0.05403, 0.052973, 0.051907, 0.050836, 0.049757, 0.048673, 0.047581, 0.046483, 0.045378, 0.044267, 0.043151, 0.042028, 0.040899, 0.03977, 0.038623, 0.037477, 0.036328, 0.035176, 0.03402, 0.032861, 0.031698, 0.030532, 0.029365]","[0.032416, 0.031831, 0.03125, 0.030679, 0.030116, 0.029563, 0.029019, 0.028485, 0.027956, 0.027432, 0.026913, 0.026399, 0.02589, 0.025387, 0.024889, 0.024397, 0.023914, 0.023439, 0.022972, 0.022514, 0.022067, 0.021624, 0.021195, 0.020777, 0.020372, 0.019979, 0.019599, 0.019231, 0.018876, 0.018533]","[0.625073, 0.617646, 0.610145, 0.602644, 0.595142, 0.587641, 0.58014, 0.57264, 0.565149, 0.557645, 0.550141, 0.542638, 0.535136, 0.527633, 0.520131, 0.512629, 0.505128, 0.497626, 0.490125, 0.482624, 0.475161, 0.467621, 0.46012, 0.452619, 0.445118, 0.437617, 0.430115, 0.422614, 0.415113, 0.407612]","[212549.650505, 208718.996941, 204910.180878, 201161.894846, 197474.161457, 193847.003339, 190280.443135, 186774.198454, 183311.741312, 179875.082342, 176471.25577, 173100.82107, 169764.358588, 166462.470441, 163195.800093, 159974.058765, 156805.585276, 153691.103394, 150631.478518, 147627.602143, 144695.273871, 141791.004585, 138973.271593, 136235.580245, 133578.628626, 131003.125356, 128509.789776, 126099.352147, 123771.528466, 121518.574598]","[3148315.9, 3110538.94, 3072761.98, 3034985.02, 2997208.06, 2959431.1, 2921654.14, 2883877.18, 2846100.22, 2808323.26, 2770546.3, 2732769.34, 2694992.38, 2657215.42, 2619438.46, 2581661.5, 2543884.54, 2506107.58, 2468330.62, 2430553.66, 2392776.7, 2354999.74, 2317222.78, 2279445.82, 2241668.86, 2203891.9, 2166114.94, 2128337.98, 2090561.02, 2052784.06]","[283844.680031, 289346.59445, 295021.695515, 300817.012332, 306733.996891, 312773.982084, 318938.165781, 325228.051306, 331676.198812, 338322.345293, 345160.726911, 352197.651597, 359439.36695, 366878.724249, 374507.308635, 382308.58019, 390265.930963, 398359.261638, 406562.185953, 414873.435127, 423248.164345, 431808.408392, 440365.152644, 448929.931549, 457494.06867, 466047.757793, 474534.44445, 482855.002419, 491002.976237, 499001.001332]","[1152.950933, 1175.299203, 1198.35094, 1221.890983, 1245.925229, 1270.459092, 1295.497438, 1321.046374, 1347.238155, 1374.234189, 1402.011065, 1430.594405, 1460.009585, 1490.227569, 1521.214176, 1552.902222, 1585.224248, 1618.098611, 1651.418134, 1685.177662, 1719.19504, 1753.965963, 1788.722669, 1823.512012, 1858.298748, 1893.043045, 1927.515184, 1961.312524, 1994.408842, 2026.896083]","[37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96, 37776.96]",11508542.802539002,46746.640323,1133308.8,"[212548.924892, 208718.3362, 204909.58464, 201161.362085, 197473.691149, 193846.594457, 190280.094653, 186775.065764, 183312.432711, 179875.599141, 176471.599636, 173100.303178, 169763.600272, 166462.964364, 163196.791982, 159973.564412, 156804.927532, 153690.288388, 150630.509052, 147627.971777, 144695.689322, 141791.467652, 138973.789406, 136236.154375, 133579.255587, 131003.804844, 128510.49323, 126100.07064, 123772.269435, 121519.341003]","[0.000154, 0.000154, 0.000154, 0.000154, 0.000154, 0.000153, 0.000153, 0.000153, 0.000153, 0.000153, 0.000153, 0.000153, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000152, 0.000153, 0.000153, 0.000153, 0.000153]","[1.2521817931686863, 1.229635815622802, 1.2072183664859792, 1.1851571773695462, 1.1634523813625022, 1.142104111644864, 1.1211125014877423, 1.1004736200804979, 1.0800951867454762, 1.0598685896104747, 1.0398352288922914, 1.019999752131017, 1.0003630046561416, 0.9809270591598649, 0.9617003570396219, 0.942742447854442, 0.9240958985865021, 0.9057577999371351, 0.8877218731882507, 0.8699914572138265, 0.852666480734917, 0.8354981392437318, 0.8188681667097333, 0.802739084381644, 0.787112401198718, 0.7719897426985084, 0.7573526045258546, 0.743166104325082, 0.7294309280629251, 0.7161046261949497]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,CMachDescent,10,"[2015007.1, 2014854.572597]",,"[10668, 8988.9569879157]","[2015007.1, 2014993.8941610001, 2014980.1751450002, 2014965.8716100003, 2014951.0240770003, 2014935.7079430004, 2014919.9944220004, 2014903.9547040004, 2014887.6589180003, 2014871.1777520003]","[10668.0, 10500.09569879157, 10332.19139758314, 10164.28709637471, 9996.38279516628, 9828.47849395785, 9660.57419274942, 9492.66989154099, 9324.765590332561, 9156.86128912413]","[0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83, 0.83]","[246.189731, 246.800586, 247.409964, 248.017878, 248.624337, 249.229352, 249.832933, 250.435092, 251.035838, 251.635182]","[0.028027, 0.026426, 0.024872, 0.023363, 0.021899, 0.020479, 0.019101, 0.017765, 0.016469, 0.015211]","[0.018153, 0.017718, 0.017317, 0.016947, 0.016603, 0.016283, 0.015984, 0.015706, 0.015446, 0.015203]","[0.399023, 0.388755, 0.378799, 0.369142, 0.359777, 0.350689, 0.341866, 0.333308, 0.325002, 0.316937]","[137130.107656, 137379.003823, 137793.32488, 138370.571132, 139094.400457, 139941.90946, 140910.867831, 142002.857432, 143215.651409, 144545.973747]","[2009552.028151, 2009526.799075, 2009488.851795, 2009436.379654, 2009369.690484, 2009291.186077, 2009200.300885, 2009097.387283, 2008981.793811, 2008854.437053]","[2277.202661, 2274.679574, 2269.62768, 2261.740503, 2251.160118, 2238.462851, 2223.633452, 2206.8561, 2188.135035, 2167.781291]","[9.274897, 9.241745, 9.198619, 9.144358, 9.079614, 9.006769, 8.925819, 8.837556, 8.742049, 8.64058]","[13.205839, 13.719016, 14.303535, 14.847533, 15.316134, 15.713521, 16.039718, 16.295786, 16.481166, 16.605155]",22359.279264999997,90.09200599999998,152.527403,"[2511.300428, 2612.631256, 2729.345489, 2838.700452, 2933.170298, 3012.755026, 3077.454637, 3127.269131, 3162.198508, 3184.545836]","[0.000567, 0.000568, 0.00057, 0.000572, 0.000575, 0.000579, 0.000584, 0.00059, 0.000596, 0.000603]","[0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015]","[-0.0736, -0.073681, -0.073844, -0.074101, -0.074448, -0.074869, -0.075366, -0.075937, -0.076584, -0.0773]","[-0.003643, -0.003634, -0.003625, -0.003616, -0.003608, -0.003599, -0.003591, -0.003582, -0.003574, -0.003565]"
7,acceleratedDescent,10,"[2015481.18, 2011349.833523]",,"[8988.9569879157, 3048.0]","[2015481.18, 2015206.5015699998, 2014904.077901, 2014576.7669819999, 2014222.81864, 2013840.29171, 2013427.006306, 2012971.9632330001, 2012467.32235, 2011925.156612]","[8988.9569879157, 8394.86128912413, 7800.76559033256, 7206.669891540991, 6612.57419274942, 6018.47849395785, 5424.382795166281, 4830.28709637471, 4236.19139758314, 3642.0956987915706]","[0.8297841670985133, 0.8023904086588675, 0.7754973712185816, 0.7490864658685418, 0.7231400925520173, 0.6976415725666847, 0.6725750866474961, 0.64792561809136, 0.6236789004439112, 0.5998213693206608]","[252.167542, 245.877388, 239.587233, 233.297079, 227.006925, 220.716771, 214.426617, 208.136463, 201.846308, 195.556154]","[0.014125, 0.014367, 0.014651, 0.014997, 0.015213, 0.015298, 0.015304, 0.015394, 0.015846, 0.016484]","[0.014994, 0.014565, 0.014293, 0.014107, 0.014004, 0.013894, 0.013571, 0.013269, 0.013374, 0.013569]","[0.309903, 0.303669, 0.298282, 0.293716, 0.289945, 0.286959, 0.284762, 0.283337, 0.282677, 0.282815]","[146083.434548, 144800.472198, 144641.620911, 144949.518478, 145743.649502, 146074.677236, 143761.672438, 141233.968279, 142654.080709, 144612.098508]","[2012825.511399, 2012613.589966, 2012327.526401, 2012000.01875, 2011631.30314, 2011260.663275, 2010971.436979, 2010636.665072, 2010082.649477, 2009455.297829]","[11561.503983, 11700.055489, 11736.33126, 11734.927274, 11700.350473, 11726.213612, 12018.097529, 12322.844606, 12192.848942, 11978.739343]","[45.908993, 47.646224, 49.048349, 50.36478, 51.608221, 53.196019, 56.11604, 59.274368, 60.478262, 61.330019]","[274.67843, 302.423669, 327.310919, 353.948342, 382.52693, 413.285404, 455.043073, 504.640883, 542.165738, 575.323089]",118671.912511,534.971275,4131.346477,"[14493.164818, 15476.21703, 16427.212963, 17432.40515, 18566.818107, 19893.749933, 21338.130143, 22516.182199, 23368.779986, 23909.398741]","[0.000413, 0.00041, 0.000406, 0.000403, 0.000399, 0.000391, 0.00038, 0.000378, 0.000384, 0.000392]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]","[-0.051341, -0.050734, -0.050577, -0.050583, -0.050732, -0.050621, -0.049393, -0.048174, -0.048686, -0.049555]","[0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588, 0.010588]"
8,acceleratedDescent,10,"[2011638.48, 2010815.531595]",,"[3048.0, 457.2]","[2011638.48, 2011577.817798, 2011508.945025, 2011430.9723, 2011344.897358, 2011250.355886, 2011151.527959, 2011056.8988430002, 2010974.9279590002, 2010897.9235560002]","[3048.0, 2788.92, 2529.84, 2270.7599999999998, 2011.6799999999998, 1752.6, 1493.5199999999998, 1234.4399999999996, 975.3599999999997, 716.2799999999997]","[0.5763401179805233, 0.5505915912346274, 0.5250081938018696, 0.49958762961928416, 0.47432764944678724, 0.4492260496240026, 0.42428067086754034, 0.399489397107176, 0.37485015435944324, 0.35036090963722144]","[189.266, 181.3763, 173.4866, 165.5969, 157.7072, 149.8175, 141.9278, 134.0381, 126.1484, 118.2587]","[0.017108, 0.020978, 0.025476, 0.030813, 0.037071, 0.043973, 0.051919, 0.061732, 0, 0]","[0.013486, 0.013753, 0.014283, 0.01525, 0.01659, 0.017893, 0.01963, 0.022646, 0.025927, 0.028761]","[0.283918, 0.301047, 0.32046, 0.342584, 0.367949, 0.397247, 0.431318, 0.471236, 0.518531, 0.575211]","[143189.755346, 137723.075991, 134362.896209, 134187.630305, 135903.723831, 135754.827775, 137154.261141, 144789.63582, 150617.238094, 150604.779805]","[2009704.246846, 2009742.915156, 2009719.279601, 2009601.434532, 2009422.851342, 2009277.410095, 2009061.519964, 2008619.124251, 2008229.84125, 2008063.730735]","[5903.724502, 6061.547674, 6137.676613, 6070.218782, 5922.00597, 5844.86764, 5678.434438, 5257.014597, 4953.35215, 4874.608623]","[31.222758, 33.450246, 35.409895, 36.689969, 37.586556, 39.051558, 40.050939, 39.267901, 39.319745, 41.278051]","[60.662202, 68.872773, 77.972725, 86.074942, 94.541472, 98.827927, 94.629116, 81.970884, 77.004403, 82.391961]",56703.450989000004,373.32761800000003,822.948405,"[3160.705086, 3441.864281, 3827.235918, 4310.480677, 4941.712947, 5256.106039, 5090.879996, 4596.306433, 4431.735505, 4684.929003]","[0.000615, 0.000598, 0.000575, 0.000544, 0.000509, 0.000481, 0.000464, 0.000454, 0.000442, 0.000426]","[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]","[-0.043856, -0.042716, -0.042186, -0.042655, -0.043721, -0.044297, -0.045594, -0.049243, -0.052256, -0.053099]","[0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453, 0.030453]"
