,mach_means,aoa_means,alt_means,CL_means,weights
0,0.8302614529232955,2.6403214096495042,9418.93197218262,0.534968868323544,0.0622338704616355
1,0.8321409628132109,2.392122873206011,10934.143742508077,0.5063805012446032,0.0903001012346705
2,0.6808490286272127,1.9496560405443208,6985.412051762891,0.3963276184120266,0.009112371537891815
3,0.8063362065735037,2.1983391245605155,11682.252197266376,0.4634639231036788,0.018019415746946644
4,0.7610420839344525,2.4169593914400815,10122.875787764582,0.46353709088075284,0.010415060832007673
5,0.8305787985195127,2.8269748460103803,9565.9149060757,0.5581115696861992,0.06488468710531863
6,0.846155849046521,2.289664989965474,11980.57138313377,0.507174100306195,0.04076511363563776
7,0.6595740843834108,3.11182873462492,8683.620695782618,0.5096024287261405,0.004011653478325949
8,0.7406924996917098,1.8686714715674773,8308.442250507365,0.4003316738186302,0.011618905892453128
9,0.6319982716128081,2.439136630730455,6398.207260009551,0.45095745962064054,0.006574689067057285
10,0.7027842119709822,1.4168087894252663,6992.044395672612,0.34844620154437034,0.003938491623823739
11,0.657544720499897,3.1633469878761336,5502.20154211664,0.5148393549568145,0.0035144689585314528
12,0.7915275375241849,2.0474152094621276,9694.987823448262,0.4388374702490129,0.016898807935907846
13,0.831058231948695,2.72869555911682,10395.560493499544,0.5465439545709699,0.08607126702173763
14,0.8023804694606321,2.480686033472251,11792.030660294306,0.4926204518721529,0.028368756029185455
15,0.7934354441301702,3.0324368488977624,11754.043992782954,0.5479442011346042,0.0162749236788836
16,0.7652204689198598,2.9906192418440503,7796.312711343226,0.5250602376227638,0.0057633892943595106
17,0.6271149647192443,1.785824817024384,5346.67115941211,0.3916476681959673,0.007764046631561708
18,0.8320654168492371,2.7251501314704285,11284.51743140446,0.5470969768437939,0.05503187282033154
19,0.8286729666579543,2.19925337502332,10627.826649829769,0.480136596827214,0.03231811327496497
20,0.8293333800251048,3.032264554048663,9595.308881043116,0.5819168717686732,0.032779605872941105
21,0.793616634704755,1.5175253113113423,9138.640299781107,0.38234689375409503,0.008500011425366117
22,0.7070218290215933,2.4313548130571476,8375.361335015974,0.44554670010463543,0.007205882924306324
23,0.8308019755407123,2.4152783354853433,9833.986639373745,0.5080073379268712,0.050007477523473204
24,0.8318527519315659,2.55859516082557,10903.372660775502,0.5264773882544089,0.11369497064602839
25,0.8318752744294088,2.5627898925139156,10151.049045257938,0.527018114319413,0.08723843237655056
26,0.8037378102637112,2.699740017107918,11942.672171968257,0.5182967133085309,0.03797824623461749
27,0.8487736584919608,2.0752223537825394,11911.60512490181,0.4830530457693554,0.02981197403392932
28,0.8397587936336335,2.4915161085912154,11758.004334817311,0.5259003239791141,0.04905505636985892
29,0.8315800930379105,1.7226809482484264,10448.408546327775,0.4258102777198788,0.009848336331696224
