,alpha,mach,alt,cl,cd,cmz
0,2.9720349384611087,0.7794739964107672,7990.571206600441,0.5569200517496701,0.023321865571489825,0.20895031401194597
1,2.5091664739595907,0.8317737925359785,10705.16014008616,0.5459105184900981,0.02440166889985992,0.20990680942746903
2,1.7637506329207435,0.6249229312382268,5266.942364304116,0.3901419714917125,0.016151703124794765,0.15016537680092612
3,2.0549123381852192,0.8479051324044823,11805.477142757967,0.5047387039821373,0.023516418983040785,0.1998982579057777
4,2.069445031583227,0.7995071653779384,9978.678156710384,0.46795838606053264,0.019956118024443165,0.1812677892209711
5,2.676677947720314,0.8311003126527953,10169.647104685482,0.5678427399913539,0.025566039993572025,0.21785040925723284
6,2.890421086580281,0.8030276865023686,11995.315685467056,0.5527108888678431,0.024763191990205286,0.20452835941546824
7,3.22821687325758,0.6367500339235579,5003.488665895756,0.5229428939172724,0.021357228881760136,0.19091631888134175
8,2.3764760379277026,0.7565930805334653,10027.171435865424,0.47636220474085467,0.02029020833046466,0.1798398593437458
9,2.449768925102126,0.8349737252844008,11368.13251300731,0.5398412751647755,0.02451188813736791,0.20783614180131066
10,2.4685219155352525,0.8314812238213551,9806.602946316194,0.5440406633753704,0.02390885182591653,0.21051557027293638
11,1.7501408568990946,0.7714137830998576,8833.32097163533,0.42325697293143394,0.017791404945643775,0.16589292458643676
12,2.983323818723821,0.8293673178634129,9638.977476528253,0.6051395341965866,0.028000747162612107,0.23043921104060655
13,3.023112108335083,0.6531575235897134,8412.50880322541,0.5025127538294587,0.021249995893923852,0.18280085183105962
14,2.717264051929032,0.8310406103874874,10776.06624439687,0.5703642805646083,0.025990572040050362,0.2177772790918432
15,1.8972792291771825,0.6770739817100936,6825.922325529993,0.4110443798439379,0.016999282965227014,0.15775828386456855
16,2.2718865272927884,0.8072388390532755,11813.21750693899,0.4884873381701448,0.021622409730301367,0.18575821551461516
17,2.2786597952942578,0.8316380572713111,10738.129516844185,0.5171462620580322,0.022766930979138584,0.20025340229060046
18,2.266710309190933,0.8479862002867653,12126.806259237894,0.5300740556310635,0.025344199015106973,0.20877180683016766
19,2.7167767275275563,0.8263115159800796,8860.471143792085,0.5714377685425198,0.025016378022863578,0.21929983094831076
20,2.598538818162133,0.8024210109863837,11883.272037377428,0.5204159426050163,0.023093134562177074,0.19494753256902583
21,3.0876697819543777,0.7737388397330669,11302.984478436749,0.5535958793328424,0.024411071623940402,0.20290610669637898
22,2.884132289343498,0.703576113866723,6865.91304890564,0.5111583963425835,0.020937337250047473,0.18982223883852126
23,2.490514850353295,0.8436297183838962,12107.702635592748,0.5528154229203789,0.026491231407436703,0.2149469029317655
24,2.7262327898807794,0.8308547931502622,9554.453555553104,0.5760959190155645,0.02586787187430093,0.22145603166808797
25,1.6079256739353796,0.8247850318193575,9769.735575284669,0.4344747609231982,0.018687056427287865,0.17373332288823806
26,2.4182238237177853,0.6315677045584699,6448.784263047008,0.44757295707323674,0.018455045366708927,0.16711252345246036
27,2.6794319413133207,0.8314117598142007,11413.06364115027,0.5633319212914946,0.025841811284913748,0.21445982528102886
28,2.3153832442373994,0.702831810826891,8337.08875513413,0.45414152686586273,0.018916262118173644,0.17116460049159596
29,1.6979033720783503,0.7236320553464075,7744.546796266218,0.40336405140237824,0.016828724016090698,0.15722987827108345
